frame,ped_id,state,ped_type,x,y,vx,vy,w1,w2,w3,w4,w5
100,0,2,3,31.884445190429688,59.91603469848633,0.0,0.0,0.0,1.0,0.0,0.0,0.0
101,0,2,3,31.88044642139666,59.91603469848633,-0.1199630709908076,0.0,0.0,1.0,0.0,0.0,0.0
102,0,2,3,31.872715467932807,59.91603469848633,-0.23192860391556136,0.0,0.0,1.0,0.0,0.0,0.0
103,0,2,3,31.861501142333516,59.91603469848633,-0.33642976797866486,0.0,0.0,1.0,0.0,0.0,0.0
104,0,2,3,31.84703566940782,59.91603469848633,-0.4339641877708948,0.0,0.0,1.0,0.0,0.0,0.0
105,0,2,3,31.82953579231081,59.91603469848633,-0.5249963129103095,0.0,0.0,1.0,0.0,0.0,0.0
106,0,2,3,31.809203804653908,59.91603469848633,-0.6099596297070964,0.0,0.0,1.0,0.0,0.0,0.0
107,0,2,3,31.78622851380777,59.91603469848633,-0.6892587253840976,0.0,0.0,1.0,0.0,0.0,0.0
108,0,2,3,31.760786139985015,59.91603469848633,-0.763271214682632,0.0,0.0,1.0,0.0,0.0,0.0
109,0,2,3,31.733041155384083,59.91603469848633,-0.8323495380279309,0.0,0.0,1.0,0.0,0.0,0.0
110,0,2,3,31.703147067390187,59.91603469848633,-0.8968226398168764,0.0,0.0,1.0,0.0,0.0,0.0
111,0,2,3,31.67124714956286,59.91603469848633,-0.9569975348198922,0.0,0.0,1.0,0.0,0.0,0.0
112,0,2,3,31.63747512389099,59.91603469848633,-1.0131607701560403,0.0,0.0,1.0,0.0,0.0,0.0
113,0,2,3,31.60195579756422,59.91603469848633,-1.0655797898031119,0.0,0.0,1.0,0.0,0.0,0.0
114,0,2,3,31.564805657292872,59.91603469848633,-1.1145042081403786,0.0,0.0,1.0,0.0,0.0,0.0
115,0,2,3,31.526133424006588,59.91603469848633,-1.1601669985884944,0.0,0.0,1.0,0.0,0.0,0.0
116,0,2,3,31.48604057057303,59.91603469848633,-1.2027856030067356,0.0,0.0,1.0,0.0,0.0,0.0
117,0,2,3,31.44462180500202,59.91603469848633,-1.2425629671304275,0.0,0.0,1.0,0.0,0.0,0.0
118,0,2,3,31.401965521436043,59.91603469848633,-1.2796885069792066,0.0,0.0,1.0,0.0,0.0,0.0
119,0,2,3,31.358154221074773,59.91603469848633,-1.314339010838067,0.0,0.0,1.0,0.0,0.0,0.0
120,0,2,3,31.313264905037897,59.91603469848633,-1.3466794811063367,0.0,0.0,1.0,0.0,0.0,0.0
121,0,2,3,31.26736944103712,59.91603469848633,-1.3768639200233885,0.0,0.0,1.0,0.0,0.0,0.0
122,0,2,3,31.220534905603365,59.91603469848633,-1.4050360630126368,0.0,0.0,1.0,0.0,0.0,0.0
123,0,2,3,31.172823903498834,59.91603469848633,-1.4313300631359354,0.0,0.0,1.0,0.0,0.0,0.0
124,0,2,3,31.124294865834912,59.91603469848633,-1.4558711299176805,0.0,0.0,1.0,0.0,0.0,0.0
125,0,2,3,31.075002328315556,59.91603469848633,-1.4787761255806429,0.0,0.0,1.0,0.0,0.0,0.0
126,0,2,3,31.02499719093113,59.91603469848633,-1.500154121532741,0.0,0.0,1.0,0.0,0.0,0.0
127,0,2,3,30.974326960339308,59.91603469848633,-1.520106917754699,0.0,0.0,1.0,0.0,0.0,0.0
128,0,2,3,30.923035976087245,59.91603469848633,-1.53872952756186,0.0,0.0,1.0,0.0,0.0,0.0
129,0,2,3,30.871165621752294,59.91603469848633,-1.5561106300485437,0.0,0.0,1.0,0.0,0.0,0.0
130,0,2,3,30.818754522006646,59.91603469848633,-1.5723329923694485,0.0,0.0,1.0,0.0,0.0,0.0
131,0,2,3,30.76583872654435,59.91603469848633,-1.5874738638689594,0.0,0.0,1.0,0.0,0.0,0.0
132,0,2,3,30.71245188174651,59.91603469848633,-1.6016053439351696,0.0,0.0,1.0,0.0,0.0,0.0
133,0,2,3,30.658625390902166,59.91603469848633,-1.6147947253302992,0.0,0.0,1.0,0.0,0.0,0.0
134,0,2,3,30.60438856374775,59.91603469848633,-1.6271048146324203,0.0,0.0,1.0,0.0,0.0,0.0
135,0,2,3,30.54976875603727,59.91603469848633,-1.6385942313144,0.0,0.0,1.0,0.0,0.0,0.0
