frame,ped_id,state,ped_type,x,y,vx,vy,w1,w2,w3,w4,w5
100,0,2,3,31.884445190429688,78.71603393554688,0.0,0.0,0.0,1.0,0.0,0.0,0.0
101,0,2,3,31.88186457831895,78.71603393554688,-0.07741836332209014,0.0,0.0,1.0,0.0,0.0,0.0
102,0,2,3,31.87687539490486,78.71603393554688,-0.1496755024227076,0.0,0.0,1.0,0.0,0.0,0.0
103,0,2,3,31.86963821160764,78.71603393554688,-0.21711549891661724,0.0,0.0,1.0,0.0,0.0,0.0
104,0,2,3,31.860302895086164,78.71603393554688,-0.28005949564426624,0.0,0.0,1.0,0.0,0.0,0.0
105,0,2,3,31.84900932088872,78.71603393554688,-0.3388072259234053,0.0,0.0,1.0,0.0,0.0,0.0
106,0,2,3,31.83588803952703,78.71603393554688,-0.39363844085060173,0.0,0.0,1.0,0.0,0.0,0.0
107,0,2,3,31.821060898145387,78.71603393554688,-0.4448142414493184,0.0,0.0,1.0,0.0,0.0,0.0
108,0,2,3,31.804641620745116,78.71603393554688,-0.4925783220081207,0.0,0.0,1.0,0.0,0.0,0.0
109,0,2,3,31.78673634972746,78.71603393554688,-0.5371581305296694,0.0,0.0,1.0,0.0,0.0,0.0
110,0,2,3,31.767444151333578,78.71603393554688,-0.5787659518164483,0.0,0.0,1.0,0.0,0.0,0.0
111,0,2,3,31.746857487388553,78.71603393554688,-0.6175999183507752,0.0,0.0,1.0,0.0,0.0,0.0
112,0,2,3,31.725062655595792,78.71603393554688,-0.6538449537828137,0.0,0.0,1.0,0.0,0.0,0.0
113,0,2,3,31.70214020047848,78.71603393554688,-0.6876736535193829,0.0,0.0,1.0,0.0,0.0,0.0
114,0,2,3,31.678165296924917,78.71603393554688,-0.7192471066068475,0.0,0.0,1.0,0.0,0.0,0.0
115,0,2,3,31.65320810816419,78.71603393554688,-0.7487156628218145,0.0,0.0,1.0,0.0,0.0,0.0
116,0,2,3,31.627334119876775,78.71603393554688,-0.7762196486224503,0.0,0.0,1.0,0.0,0.0,0.0
117,0,2,3,31.600604452031117,78.71603393554688,-0.8018900353697104,0.0,0.0,1.0,0.0,0.0,0.0
