spawnx,spawny,spawn_yaw,layer_number
41.884701,-55.250000,0,1
41.884701,-56.500000,0,2
41.884701,-57.75,0,3
110.941127,0,-90,12
109.691127,0,-90,11
108.441127,0,-90,10
