frame,ped_id,state,ped_type,x,y,vx,vy,w1,w2,w3,w4,w5
100,0,2,3,-29.884445190429688,77.51603698730469,0.0,0.0,0.0,1.0,0.0,0.0,0.0
101,0,2,3,-29.88181362904661,77.51603698730469,0.07894684149224161,0.0,0.0,1.0,0.0,0.0,0.0
102,0,2,3,-29.876725943706,77.51603698730469,0.15263056021833377,0.0,0.0,1.0,0.0,0.0,0.0
103,0,2,3,-29.86934587600502,77.51603698730469,0.22140203102935313,0.0,0.0,1.0,0.0,0.0,0.0
104,0,2,3,-29.859826251434367,77.51603698730469,0.28558873711963784,0.0,0.0,1.0,0.0,0.0,0.0
105,0,2,3,-29.84830970711868,77.51603698730469,0.34549632947057024,0.0,0.0,1.0,0.0,0.0,0.0
106,0,2,3,-29.834929371040968,77.51603698730469,0.4014100823314405,0.0,0.0,1.0,0.0,0.0,0.0
107,0,2,3,-29.81980949598536,77.51603698730469,0.45359625166825274,0.0,0.0,1.0,0.0,0.0,0.0
108,0,2,3,-29.80306605121705,77.51603698730469,0.5023033430492775,0.0,0.0,1.0,0.0,0.0,0.0
109,0,2,3,-29.784807274716886,77.51603698730469,0.5477632950049006,0.0,0.0,1.0,0.0,0.0,0.0
110,0,2,3,-29.765134188600324,77.51603698730469,0.5901925834968155,0.0,0.0,1.0,0.0,0.0,0.0
111,0,2,3,-29.744141080175126,77.51603698730469,0.629793252755936,0.0,0.0,1.0,0.0,0.0,0.0
112,0,2,3,-29.721915950928533,77.51603698730469,0.6667538773977819,0.0,0.0,1.0,0.0,0.0,0.0
113,0,2,3,-29.69854093558197,77.51603698730469,0.701250460396838,0.0,0.0,1.0,0.0,0.0,0.0
114,0,2,3,-29.67409269320877,77.51603698730469,0.7334472711959571,0.0,0.0,1.0,0.0,0.0,0.0
115,0,2,3,-29.648642772277377,77.51603698730469,0.7634976279418015,0.0,0.0,1.0,0.0,0.0,0.0
116,0,2,3,-29.622257951358336,77.51603698730469,0.7915446275712564,0.0,0.0,1.0,0.0,0.0,0.0
117,0,2,3,-29.595000557117487,77.51603698730469,0.8177218272254143,0.0,0.0,1.0,0.0,0.0,0.0
118,0,2,3,-29.566928761109622,77.51603698730469,0.8421538802359616,0.0,0.0,1.0,0.0,0.0,0.0
