spawnx,spawny,spawn_yaw,layer_number
-25.884445,143.978821,0,0
-25.877457,142.728821,0,1
-25.870464,141.478851,0,2
-25.863476,140.228851,0,3
55.960030,130.686310,-180,11
55.967018,129.436340,-180,12
55.974014,128.186356,-180,13
55.981003,126.936371,-180,14
