spawnx,spawny,spawn_yaw,layer_number_1,layer_number_2
-25.873960,142.103836,0,1,2
-25.866970,140.853851,0,2,3
-25.859980,139.603867,0,3,4
-25.852989,138.353882,0,4,5
-25.845999,137.103897,0,5,6
55.942547,133.811279,-180,8,9
55.949539,132.561295,-180,9,10
55.956532,131.311310,-180,10,11
55.963524,130.061325,-180,11,12
55.970516,128.811340,-180,12,13
