spawnx,spawny,spawn_yaw,layer_number
-32.884445,73.591034,0,0
-32.884445,72.341034,0,1
-32.884445,71.091034,0,2
-32.884445,69.841034,0,3
35.884445,66.091034,-180,6
35.884445,64.841034,-180,7
35.884445,63.591034,-180,8
35.884445,62.341034,-180,9
