frame,veh_id,vehx,vehy,veh_width,veh_height,veh_speed,acc,leader_type,yaw,bp
0,0,-15.0,65.46603393554688,1.0749967098236084,2.513388515229759,0.0,3.2545773160176146,veh,-180,vehicle.mercedes.coupe
0,2,10.884445190429688,72.96603393554688,0.9479585269308304,2.326620101928711,0.0,3.0148168137580966,veh,0,vehicle.ford.mustang
0,4,-15.884445190429688,72.96603393554688,0.9970586399340878,2.090977430343628,0.0,1.0526523116163533,veh,0,vehicle.audi.tt
1,0,-15.0,65.46603393554688,1.0749967098236084,2.513388515229759,0.0,6.509154528931055,veh,-180.0,vehicle.mercedes.coupe
1,1,8.884445190429688,62.966033935546875,1.0011495560113537,2.3394126892089844,0.0,3.7791836841092965,veh,-180,vehicle.mercedes.coupe_2020
1,2,10.884445190429688,72.96603393554688,0.9479585269308304,2.326620101928711,0.0,6.029633489930993,veh,0.0,vehicle.ford.mustang
1,3,-5.8844451904296875,72.96603393554688,1.082119564190953,2.3666703701019287,0.0,3.5647386899798277,veh,0,vehicle.tesla.model3
1,4,-15.884445190429688,72.96603393554688,0.9970586399340878,2.090977430343628,0.0,3.0730508456906747,veh,0.0,vehicle.audi.tt
2,0,-15.0,65.46603393554688,1.0749967098236084,2.513388515229759,0.0,9.763730195281978,veh,-180.0,vehicle.mercedes.coupe
2,1,8.884445190429688,62.966033935546875,1.0011495560113537,2.3394126892089844,0.0,7.558367115623005,veh,-180.0,vehicle.mercedes.coupe_2020
2,2,10.884445190429688,72.96603393554688,0.9479585269308304,2.326620101928711,0.0,9.044448102326092,veh,0.0,vehicle.ford.mustang
2,3,-5.8844451904296875,72.96603393554688,1.082119564190953,2.3666703701019287,0.0,7.109348424463146,veh,0.0,vehicle.tesla.model3
2,4,-15.884445190429688,72.96603393554688,0.9970586399340878,2.090977430343628,0.0,5.031183893229692,veh,0.0,vehicle.audi.tt
3,0,-15.0,65.46603393554688,1.0749967098236084,2.513388515229759,0.0,13.01829915986744,veh,-180.0,vehicle.mercedes.coupe
3,1,8.884445190429688,62.966033935546875,1.0011495560113537,2.3394126892089844,0.0,11.337546758203453,veh,-180.0,vehicle.mercedes.coupe_2020
3,2,10.884445190429688,72.96603393554688,0.9479585269308304,2.326620101928711,0.0,12.059253771694522,veh,0.0,vehicle.ford.mustang
3,3,-5.8844451904296875,72.96603393554688,1.082119564190953,2.3666703701019287,0.0,10.63313919102445,veh,0.0,vehicle.tesla.model3
3,4,-15.884445190429688,72.96603393554688,0.9970586399340878,2.090977430343628,0.0,6.928841480694481,veh,0.0,vehicle.audi.tt
4,0,-15.0,65.46603393554688,1.0749967098236084,2.513388515229759,0.0,16.272850081298277,veh,-180.0,vehicle.mercedes.coupe
4,1,8.884445190429688,62.966033935546875,1.0011495560113537,2.3394126892089844,0.0,15.116709982101215,veh,-180.0,vehicle.mercedes.coupe_2020
4,2,10.884445190429688,72.96603393554688,0.9479585269308304,2.326620101928711,0.0,15.074035363798957,veh,0.0,vehicle.ford.mustang
4,3,-5.8844451904296875,72.96603393554688,1.082119564190953,2.3666703701019287,0.0,14.135427471834705,veh,0.0,vehicle.tesla.model3
4,4,-15.884445190429688,72.96603393554688,0.9970586399340878,2.090977430343628,0.0,8.767884406104704,veh,0.0,vehicle.audi.tt
5,0,-15.0,65.46603393554688,1.0749967098236084,2.513388515229759,0.0,19.527362957784838,veh,-180.0,vehicle.mercedes.coupe
5,1,8.884445190429688,62.966033935546875,1.0011495560113537,2.3394126892089844,0.0,18.895829002163847,veh,-180.0,vehicle.mercedes.coupe_2020
5,2,10.884445190429688,72.96603393554688,0.9479585269308304,2.326620101928711,0.0,18.08876618791845,veh,0.0,vehicle.ford.mustang
5,3,-5.8844451904296875,72.96603393554688,1.082119564190953,2.3666703701019287,0.0,17.615533662745882,veh,0.0,vehicle.tesla.model3
5,4,-15.884445190429688,72.96603393554688,0.9970586399340878,2.090977430343628,0.0,10.550228154861736,veh,0.0,vehicle.audi.tt
6,0,-15.0,65.46603393554688,1.0749967098236084,2.513388515229759,0.0,22.781806653554835,veh,-180.0,vehicle.mercedes.coupe
6,1,8.884445190429688,62.966033935546875,1.0011495560113537,2.3394126892089844,0.0,22.674854817019657,veh,-180.0,vehicle.mercedes.coupe_2020
6,2,10.884445190429688,72.96603393554688,0.9479585269308304,2.326620101928711,0.0,21.103404696568347,veh,0.0,vehicle.ford.mustang
6,3,-5.8844451904296875,72.96603393554688,1.082119564190953,2.3666703701019287,0.0,21.07277979663388,veh,0.0,vehicle.tesla.model3
6,4,-15.884445190429688,72.96603393554688,0.9970586399340878,2.090977430343628,0.0,12.277827877888765,veh,0.0,vehicle.audi.tt
7,0,-15.0,65.46603393554688,1.0749967098236084,2.513388515229759,0.0,26.03613642664384,veh,-180.0,vehicle.mercedes.coupe
7,1,8.884445190429688,62.966033935546875,1.0011495560113537,2.3394126892089844,0.0,26.453711151528704,veh,-180.0,vehicle.mercedes.coupe_2020
7,2,10.884445190429688,72.96603393554688,0.9479585269308304,2.326620101928711,0.0,24.11789118785883,veh,0.0,vehicle.ford.mustang
7,3,-5.8844451904296875,72.96603393554688,1.082119564190953,2.3666703701019287,0.0,24.506487574880744,veh,0.0,vehicle.tesla.model3
7,4,-15.884445190429688,72.96603393554688,0.9970586399340878,2.090977430343628,0.0,13.952664478517192,veh,0.0,vehicle.audi.tt
8,0,-15.0,65.46603393554688,1.0749967098236084,2.513388515229759,0.0,29.29029145923982,veh,-180.0,vehicle.mercedes.coupe
