frame,ped_id,state,ped_type,x,y,vx,vy,w1,w2,w3,w4,w5
100,0,2,3,-23.0,-80.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
101,0,2,3,-22.997333574990325,-80.0,0.07999275029027433,0.0,0.0,1.0,0.0,0.0,0.0
102,0,2,3,-22.992178486638284,-80.0,0.15465265056119704,0.0,0.0,1.0,0.0,0.0,0.0
103,0,2,3,-22.98470064583337,-80.0,0.22433522414739154,0.0,0.0,1.0,0.0,0.0,0.0
104,0,2,3,-22.97505490273911,-80.0,0.28937229282783977,0.0,0.0,1.0,0.0,0.0,0.0
105,0,2,3,-22.96338578417479,-80.0,0.35007355692959147,0.0,0.0,1.0,0.0,0.0,0.0
106,0,2,3,-22.949828181838416,-80.0,0.40672807009122636,0.0,0.0,1.0,0.0,0.0,0.0
107,0,2,3,-22.934507994648126,-80.0,0.45960561570875225,0.0,0.0,1.0,0.0,0.0,0.0
108,0,2,3,-22.917542728260845,-80.0,0.5089579916184431,0.0,0.0,1.0,0.0,0.0,0.0
109,0,2,3,-22.899042054623038,-80.0,0.5550202091341546,0.0,0.0,1.0,0.0,0.0,0.0
110,0,2,3,-22.879108334218078,-80.0,0.5980116121488186,0.0,0.0,1.0,0.0,0.0,0.0
111,0,2,3,-22.857837103497104,-80.0,0.6381369216291717,0.0,0.0,1.0,0.0,0.0,0.0
112,0,2,3,-22.83531752981452,-80.0,0.6755872104775013,0.0,0.0,1.0,0.0,0.0,0.0
113,0,2,3,-22.811632836034434,-80.0,0.7105408134026088,0.0,0.0,1.0,0.0,0.0,0.0
114,0,2,3,-22.78686069683001,-80.0,0.7431641761327091,0.0,0.0,1.0,0.0,0.0,0.0
115,0,2,3,-22.761073608562874,-80.0,0.7736126480141362,0.0,0.0,1.0,0.0,0.0,0.0
116,0,2,3,-22.73433923450387,-80.0,0.8020312217701348,0.0,0.0,1.0,0.0,0.0,0.0
117,0,2,3,-22.706720727039123,-80.0,0.8285552239424001,0.0,0.0,1.0,0.0,0.0,0.0
