pedtype,x1,y1,x2,y2,x3,y3,x4,y4
1,-25.884445,-53.728821,55.884445,-53.728821,-25.884445,-36.228821,55.884445,-36.228821
2,-25.884445,-72.478821,55.884445,-72.478821,-25.884445,-89.978821,55.884445,-89.978821
