frame,ped_id,state,ped_type,x,y,vx,vy,w1,w2,w3,w4,w5
1,0,1,3,40.88444519042969,153.92881774902344,0.0,0.0,0.0,0.9,0.0,0.1,0.0
2,0,1,3,40.88296653436102,153.92142446868007,-0.04435968206010758,-0.22179841030053793,0.0,0.9,0.0,0.1,0.0
3,0,1,3,40.88010779929492,153.90713079334958,-0.08576205198287479,-0.42881025991437327,0.0,0.9,0.0,0.1,0.0
4,0,1,3,40.875960990497894,153.88639674936445,-0.12440426391079085,-0.622021319553953,0.0,0.9,0.0,0.1,0.0
5,0,1,3,40.870611979552,153.85965169463498,-0.16047032837684588,-0.8023516418842274,0.0,0.9,0.0,0.1,0.0
6,0,1,3,40.864140913267164,153.8272963632108,-0.19413198854516406,-0.9706599427258167,0.0,0.9,0.0,0.1,0.0
7,0,1,3,40.856622595332645,153.7897047735382,-0.2255495380355943,-1.1277476901779668,0.0,0.9,0.0,0.1,0.0
8,0,1,3,40.84812684252509,153.74722600950042,-0.2548725842266625,-1.274362921133307,0.0,0.9,0.0,0.1,0.0
9,0,1,3,40.838718817169365,153.70018588272183,-0.2822407606716595,-1.411203803358291,0.0,0.9,0.0,0.1,0.0
10,0,1,3,40.828459337435355,153.64888848405178,-0.3077843920203231,-1.5389219601016095,0.0,0.9,0.0,0.1,0.0
11,0,1,3,40.81740516694828,153.59361763161638,-0.33162511461240907,-1.6581255730620401,0.0,0.9,0.0,0.1,0.0
12,0,1,3,40.80560928509166,153.5346382223333,-0.353876455698356,-1.7693822784917754,0.0,0.9,0.0,0.1,0.0
13,0,1,3,40.79312113929016,153.47219749332578,-0.37464437404523987,-1.873221870226195,0.0,0.9,0.0,0.1,0.0
14,0,1,3,40.779986880473416,153.40652619924205,-0.3940277645023315,-1.9701388225116532,0.0,0.9,0.0,0.1,0.0
15,0,1,3,40.76624958284245,153.3378397110872,-0.4121189289289506,-2.0605946446447474,0.0,0.9,0.0,0.1,0.0
16,0,1,3,40.751949448984874,153.26633904179937,-0.4290040157271284,-2.1450200786356355,0.0,0.9,0.0,0.1,0.0
17,0,1,3,40.737124001315806,153.19221180345403,-0.44476343007209407,-2.2238171503604645,0.0,0.9,0.0,0.1,0.0
18,0,1,3,40.721808260756006,153.11563310065503,-0.459472216794062,-2.297361083970305,0.0,0.9,0.0,0.1,0.0
19,0,1,3,40.706034913498186,153.03676636436595,-0.4732004177345655,-2.3660020886728224,0.0,0.9,0.0,0.1,0.0
20,0,1,3,40.689834466655554,152.95576413015277,-0.48601340527903525,-2.430067026395172,0.0,0.9,0.0,0.1,0.0
21,0,1,3,40.67323539353376,152.8727687645438,-0.4979721936538738,-2.4898609682693653,0.0,0.9,0.0,0.1,0.0
