frame,ped_id,state,ped_type,x,y,vx,vy,w1,w2,w3,w4,w5
100,0,2,3,31.884445190429688,78.71603393554688,0.0,0.0,0.0,1.0,0.0,0.0,0.0
101,0,2,3,31.881845446107526,78.71603393554688,-0.07799232966480582,0.0,0.0,1.0,0.0,0.0,0.0
102,0,2,3,31.87681927375135,78.71603393554688,-0.15078517068529126,0.0,0.0,1.0,0.0,0.0,0.0
103,0,2,3,31.869528435230094,78.71603393554688,-0.21872515563774436,0.0,0.0,1.0,0.0,0.0,0.0
104,0,2,3,31.86012390828809,78.71603393554688,-0.2821358082600339,0.0,0.0,1.0,0.0,0.0,0.0
105,0,2,3,31.84874660548673,78.71603393554688,-0.3413190840408375,0.0,0.0,1.0,0.0,0.0,0.0
106,0,2,3,31.835528045216634,78.71603393554688,-0.3965568081029208,0.0,0.0,1.0,0.0,0.0,0.0
107,0,2,3,31.820590977975716,78.71603393554688,-0.4481120172275319,0.0,0.0,1.0,0.0,0.0,0.0
108,0,2,3,31.804049970895367,78.71603393554688,-0.49623021241050225,0.0,0.0,1.0,0.0,0.0,0.0
109,0,2,3,31.786011953298214,78.71603393554688,-0.5411405279146079,0.0,0.0,1.0,0.0,0.0,0.0
110,0,2,3,31.766576725885376,78.71603393554688,-0.5830568223851065,0.0,0.0,1.0,0.0,0.0,0.0
111,0,2,3,31.7458374359779,78.71603393554688,-0.6221786972242386,0.0,0.0,1.0,0.0,0.0,0.0
112,0,2,3,31.72388102107543,78.71603393554688,-0.6586924470740951,0.0,0.0,1.0,0.0,0.0,0.0
113,0,2,3,31.7007886228443,78.71603393554688,-0.6927719469339613,0.0,0.0,1.0,0.0,0.0,0.0
114,0,2,3,31.676635973506418,78.71603393554688,-0.724579480136503,0.0,0.0,1.0,0.0,0.0,0.0
115,0,2,3,31.6514937564689,78.71603393554688,-0.7542665111255419,0.0,0.0,1.0,0.0,0.0,0.0
116,0,2,3,31.62542794291172,78.71603393554688,-0.7819744067153116,0.0,0.0,1.0,0.0,0.0,0.0
117,0,2,3,31.598500105936196,78.71603393554688,-0.8078351092657633,0.0,0.0,1.0,0.0,0.0,0.0
118,0,2,3,31.570767713770213,78.71603393554688,-0.8319717649795182,0.0,0.0,1.0,0.0,0.0,0.0
119,0,2,3,31.542284403426468,78.71603393554688,-0.8544993103123562,0.0,0.0,1.0,0.0,0.0,0.0
120,0,2,3,31.513100236116813,78.71603393554688,-0.8755250192896715,0.0,0.0,1.0,0.0,0.0,0.0
121,0,2,3,31.483261935638975,78.71603393554688,-0.8951490143351659,0.0,0.0,1.0,0.0,0.0,0.0
122,0,2,3,31.45281311087083,78.71603393554688,-0.913464743044294,0.0,0.0,1.0,0.0,0.0,0.0
123,0,2,3,31.421794463431738,78.71603393554688,-0.9305594231728136,0.0,0.0,1.0,0.0,0.0,0.0
124,0,2,3,31.390243981499758,78.71603393554688,-0.9465144579594319,0.0,0.0,1.0,0.0,0.0,0.0
125,0,2,3,31.35819712070775,78.71603393554688,-0.9614058237602756,0.0,0.0,1.0,0.0,0.0,0.0
126,0,2,3,31.325686972979714,78.71603393554688,-0.9753044318410631,0.0,0.0,1.0,0.0,0.0,0.0
127,0,2,3,31.292744424111387,78.71603393554688,-0.988276466049798,0.0,0.0,1.0,0.0,0.0,0.0
128,0,2,3,31.259398300845454,78.71603393554688,-1.0003836979779506,0.0,0.0,1.0,0.0,0.0,0.0
129,0,2,3,31.22567550814176,78.71603393554688,-1.011683781110893,0.0,0.0,1.0,0.0,0.0,0.0
130,0,2,3,31.191601157296148,78.71603393554688,-1.022230525368306,0.0,0.0,1.0,0.0,0.0,0.0
131,0,2,3,31.157198685518086,78.71603393554688,-1.0320741533418913,0.0,0.0,1.0,0.0,0.0,0.0
132,0,2,3,31.1224899675364,78.71603393554688,-1.041261539450571,0.0,0.0,1.0,0.0,0.0,0.0
133,0,2,3,31.087495419764664,78.71603393554688,-1.0498364331520056,0.0,0.0,1.0,0.0,0.0,0.0
134,0,2,3,31.05223409752222,78.71603393554688,-1.0578396672733443,0.0,0.0,1.0,0.0,0.0,0.0
135,0,2,3,31.016723785773777,78.71603393554688,-1.0653093524532606,0.0,0.0,1.0,0.0,0.0,0.0
136,0,2,3,30.98098108381974,78.71603393554688,-1.0722810586211824,0.0,0.0,1.0,0.0,0.0,0.0
137,0,2,3,30.945021484340476,78.71603393554688,-1.0787879843779093,0.0,0.0,1.0,0.0,0.0,0.0
138,0,2,3,30.908859447171004,78.71603393554688,-1.0848611150841878,0.0,0.0,1.0,0.0,0.0,0.0
139,0,2,3,30.872508468157335,78.71603393554688,-1.0905293704100478,0.0,0.0,1.0,0.0,0.0,0.0
140,0,2,3,30.83598114342242,78.71603393554688,-1.095819742047517,0.0,0.0,1.0,0.0,0.0,0.0
141,0,2,3,30.799289229347668,78.71603393554688,-1.1007574222424885,0.0,0.0,1.0,0.0,0.0,0.0
142,0,2,3,30.762443698555742,78.71603393554688,-1.105365923757795,0.0,0.0,1.0,0.0,0.0,0.0
143,0,2,3,30.725454792161116,78.71603393554688,-1.109667191838748,0.0,0.0,1.0,0.0,0.0,0.0
144,0,2,3,30.688332068537306,78.71603393554688,-1.1136817087143038,0.0,0.0,1.0,0.0,0.0,0.0
145,0,2,3,30.651084448832922,78.71603393554688,-1.1174285911314894,0.0,0.0,1.0,0.0,0.0,0.0
146,0,2,3,30.613720259453338,78.71603393554688,-1.1209256813875292,0.0,0.0,1.0,0.0,0.0,0.0
147,0,2,3,30.576247271710233,78.71603393554688,-1.1241896322931664,0.0,0.0,1.0,0.0,0.0,0.0
148,0,2,3,30.53867273882784,78.71603393554688,-1.1272359864717612,0.0,0.0,1.0,0.0,0.0,0.0
149,0,2,3,30.501003430482115,78.71603393554688,-1.130079250371783,0.0,0.0,1.0,0.0,0.0,0.0
150,0,2,3,30.463245665037277,78.71603393554688,-1.1327329633451366,0.0,0.0,1.0,0.0,0.0,0.0
