frame,ped_id,state,ped_type,x,y,vx,vy,w1,w2,w3,w4,w5
3000,0,1,3,40.88444519042969,153.92881774902344,0.0,0.0,0.0,0.8,0.0,0.0,0.2
3001,0,1,3,40.88282894098937,153.92073650182184,-0.04848748320957257,-0.24243741604786284,0.0,0.8,0.0,0.0,0.2
3002,0,1,3,40.87970419207142,153.90511275723208,-0.0937424675385071,-0.4687123376925348,0.0,0.8,0.0,0.0,0.2
3003,0,1,3,40.87517151030768,153.8824493484134,-0.13598045291217953,-0.6799022645608952,0.0,0.8,0.0,0.0,0.2
3004,0,1,3,40.869324757887874,153.85321558631435,-0.1754025725942736,-0.877012862971365,0.0,0.8,0.0,0.0,0.2
3005,0,1,3,40.8622515395224,153.81784949448698,-0.21219655096422815,-1.0609827548211368,0.0,0.8,0.0,0.0,0.2
3006,0,1,3,40.854033619607634,153.77675989491317,-0.24653759744285225,-1.2326879872142573,0.0,0.8,0.0,0.0,0.2
3007,0,1,3,40.84474731158021,153.73032835477602,-0.2785892408229014,-1.392946204114503,0.0,0.8,0.0,0.0,0.2
3008,0,1,3,40.83446384131429,153.67891100344642,-0.30850410797761396,-1.5425205398880657,0.0,0.8,0.0,0.0,0.2
3009,0,1,3,40.82324968629244,153.6228402283372,-0.3364246506553459,-1.682123253276724,0.0,0.8,0.0,0.0,0.2
3010,0,1,3,40.81116689216507,153.56242625770034,-0.36248382382122885,-1.8124191191061385,0.0,0.8,0.0,0.0,0.2
3010,1,1,3,10.884445190429688,153.02882385253906,0.0,0.0,0.0,0.8,0.0,0.0,0.2
3011,0,1,3,40.79827336820587,153.49795863790433,-0.3868057187760458,-1.9340285938802593,0.0,0.8,0.0,0.0,0.2
3011,1,1,3,10.879032963399384,153.0254217105923,-0.1623668109091051,-0.10206425840329415,0.0,0.8,0.0,0.0,0.2
3012,0,1,3,40.78462316307029,153.42970761222645,-0.409506154067209,-2.0475307703361048,0.0,0.8,0.0,0.0,0.2
3012,1,1,3,10.86856932447413,153.01884423616187,-0.31390916775760236,-0.19732423291303586,0.0,0.8,0.0,0.0,0.2
3013,0,1,3,40.770266722170106,153.3579254077255,-0.43069322700562823,-2.153466135028227,0.0,0.8,0.0,0.0,0.2
3013,1,1,3,10.853391034446924,153.00930311808003,-0.45534870081619966,-0.2862335424554616,0.0,0.8,0.0,0.0,0.2
3014,0,1,3,40.755251127889615,153.28284743632304,-0.4504678284148197,-2.252339142074208,0.0,0.8,0.0,0.0,0.2
3014,1,1,3,10.833812403391228,152.99699593259018,-0.5873589316708903,-0.3692155646950591,0.0,0.8,0.0,0.0,0.2
3015,0,1,3,40.7396203237875,153.20469341581247,-0.46892412306339853,-2.3446206153171234,0.0,0.8,0.0,0.0,0.2
3015,1,1,3,10.810126787375609,152.98210708418623,-0.7105684804686015,-0.4466654521186833,0.0,0.8,0.0,0.0,0.2
3016,0,1,3,40.723415323851874,153.12366841613434,-0.48614999806873865,-2.4307499903438448,0.0,0.8,0.0,0.0,0.2
3016,1,1,3,10.782607985397393,152.9648086837291,-0.8255640593464654,-0.5189520137140659,0.0,0.8,0.0,0.0,0.2
3017,0,1,3,40.706674407804975,153.0399638358998,-0.5022274814070563,-2.5111374070354513,0.0,0.8,0.0,0.0,0.2
3017,1,1,3,10.751511543187421,152.94526136802233,-0.932893266299138,-0.5864194712030898,0.0,0.8,0.0,0.0,0.2
3018,0,1,3,40.689433303387545,152.95375831381267,-0.5172331325228199,-2.5861656626142837,0.0,0.8,0.0,0.0,0.2
3018,1,1,3,10.717075970094477,152.92361506474924,-1.0330671927882993,-0.6493890981928454,0.0,0.8,0.0,0.0,0.2
3019,0,1,3,40.67172535649096,152.86521857932973,-0.5312384068975327,-2.656192034487861,0.0,0.8,0.0,0.0,0.2
