spawnx,spawny,spawn_yaw,layer_number
-25.884445,-54.353821,0,0
-25.884445,-55.603821,0,1
-25.884445,-56.853821,0,2
-25.884445,-58.103821,0,3
55.884445,-68.103821,-90,11
55.884445,-69.353821,-90,12
55.884445,-70.603821,-90,13
55.884445,-71.853821,-90,14
